boat_speed,wind_speed,cos_attack_angle,sin_attack_angle,cos_target_angle,sin_target_angle,cos_boat_angle
7.732360000000001,9.43467,-0.8290375725550418,-0.5591929034707467,-0.8290375725550418,-0.5591929034707467,-0.8660254037844386
7.789519999999999,9.59005,-0.8191520442889918,-0.5735764363510462,-0.8191520442889918,-0.5735764363510462,-0.8571673007021123
7.81913,9.66396,-0.8191520442889918,-0.5735764363510462,-0.8090169943749476,-0.587785252292473,-0.8571673007021123
7.81658,9.657589999999999,-0.8191520442889918,-0.5735764363510462,-0.7986355100472928,-0.6018150231520484,-0.8480480961564261
7.84463,9.72758,-0.8191520442889918,-0.5735764363510462,-0.7771459614569708,-0.6293203910498376,-0.8480480961564261
7.8699600000000025,9.79081,-0.8191520442889918,-0.5735764363510462,-0.766044443118978,-0.6427876096865393,-0.838670567945424
7.89375,9.85018,-0.8191520442889918,-0.5735764363510462,-0.7547095802227721,-0.656059028990507,-0.8290375725550418
7.91438,9.8972,-0.838670567945424,-0.5446390350150271,-0.7313537016191706,-0.6819983600624984,-0.8090169943749476
7.93762,9.95783,-0.838670567945424,-0.5446390350150271,-0.7313537016191706,-0.6819983600624984,-0.7986355100472928
7.93095,9.9417,-0.8290375725550418,-0.5591929034707467,-0.7071067811865477,-0.7071067811865475,-0.7986355100472928
7.9267699999999985,9.93102,-0.8290375725550418,-0.5591929034707467,-0.6946583704589973,-0.7193398003386512,-0.7986355100472928
7.89797,9.8575,-0.8290375725550418,-0.5591929034707467,-0.6691306063588581,-0.7431448254773944,-0.788010753606722
7.86835,9.78187,-0.8290375725550418,-0.5591929034707467,-0.6560590289905073,-0.754709580222772,-0.7771459614569708
7.8346399999999985,9.695789999999999,-0.8290375725550418,-0.5591929034707467,-0.6293203910498378,-0.7771459614569706,-0.766044443118978
7.80362,9.6166,-0.8290375725550418,-0.5591929034707467,-0.6018150231520483,-0.7986355100472928,-0.7431448254773942
7.79355,9.59088,-0.8290375725550418,-0.5591929034707467,-0.5735764363510464,-0.8191520442889916,-0.7431448254773942
7.773060000000001,9.53858,-0.8290375725550418,-0.5591929034707467,-0.5591929034707466,-0.8290375725550418,-0.7313537016191706
7.74793,9.47443,-0.8290375725550418,-0.5591929034707467,-0.529919264233205,-0.848048096156426,-0.7071067811865477
7.73595,9.44384,-0.8290375725550418,-0.5591929034707467,-0.5150380749100545,-0.8571673007021121,-0.7071067811865477
7.71921,9.4011,-0.8290375725550418,-0.5591929034707467,-0.48480962024633684,-0.874619707139396,-0.6819983600624986
7.70322,9.36026,-0.8290375725550418,-0.5591929034707467,-0.4539904997395469,-0.8910065241883678,-0.6691306063588581
7.688169999999999,9.32184,-0.8290375725550418,-0.5591929034707467,-0.43837114678907774,-0.8987940462991668,-0.6427876096865395
7.67191,9.28032,-0.8290375725550418,-0.5591929034707467,-0.4067366430758001,-0.913545457642601,-0.6427876096865395
7.65713,9.24259,-0.8290375725550418,-0.5591929034707467,-0.3907311284892738,-0.9205048534524403,-0.6293203910498378
7.64243,9.20507,-0.8290375725550418,-0.5591929034707467,-0.3746065934159123,-0.9271838545667873,-0.6018150231520483
7.6318899999999985,9.17816,-0.8290375725550418,-0.5591929034707467,-0.3583679495453007,-0.9335804264972016,-0.5735764363510464
7.61037,9.14565,-0.8191520442889918,-0.5735764363510462,-0.32556815445715664,-0.9455185755993168,-0.5735764363510464
7.58787,9.08958,-0.8191520442889918,-0.5735764363510462,-0.30901699437494756,-0.9510565162951535,-0.5735764363510464
7.56061,9.02164,-0.8191520442889918,-0.5735764363510462,-0.2923717047227371,-0.9563047559630353,-0.5591929034707466
7.50745,8.960980000000003,-0.8090169943749476,-0.587785252292473,-0.25881904510252063,-0.9659258262890683,-0.544639035015027
7.48878,8.91478,-0.8090169943749476,-0.587785252292473,-0.24192189559966779,-0.9702957262759965,-0.529919264233205
7.46977,8.86772,-0.8090169943749476,-0.587785252292473,-0.22495105434386525,-0.9743700647852351,-0.529919264233205
7.43315,8.85513,-0.7986355100472928,-0.6018150231520484,-0.2079116908177598,-0.9781476007338056,-0.5150380749100545
7.4163,8.81374,-0.7986355100472928,-0.6018150231520484,-0.1908089953765446,-0.981627183447664,-0.5150380749100545
7.402039999999999,8.7787,-0.7986355100472928,-0.6018150231520484,-0.17364817766693033,-0.984807753012208,-0.5000000000000004
7.4111,8.80095,-0.7986355100472928,-0.6018150231520484,-0.17364817766693033,-0.984807753012208,-0.48480962024633684
7.4329800000000015,8.85471,-0.7986355100472928,-0.6018150231520484,-0.15643446504023104,-0.9876883405951377,-0.4539904997395469
7.40832,8.794130000000001,-0.7986355100472928,-0.6018150231520484,-0.13917310096006583,-0.9902680687415703,-0.4539904997395469
7.392710000000001,8.75579,-0.7986355100472928,-0.6018150231520484,-0.13917310096006583,-0.9902680687415703,-0.4539904997395469
7.3793,8.72283,-0.7986355100472928,-0.6018150231520484,-0.12186934340514717,-0.9925461516413221,-0.42261826174069916
7.355739999999999,8.66495,-0.7986355100472928,-0.6018150231520484,-0.12186934340514717,-0.9925461516413221,-0.42261826174069916
7.3296199999999985,8.6008,-0.7986355100472928,-0.6018150231520484,-0.10452846326765336,-0.9945218953682734,-0.4067366430758001
7.23089,8.518130000000001,-0.7771459614569708,-0.6293203910498376,-0.10452846326765336,-0.9945218953682734,-0.43837114678907774
7.19728,8.43678,-0.7771459614569708,-0.6293203910498376,-0.08715574274765825,-0.9961946980917455,-0.43837114678907774
7.1627600000000005,8.35321,-0.7771459614569708,-0.6293203910498376,-0.06975647374412558,-0.9975640502598242,-0.43837114678907774
6.7595899999999975,7.629689999999999,-0.7771459614569708,-0.6293203910498376,-0.06975647374412558,-0.9975640502598242,-0.43837114678907774
6.33986,7.0255300000000025,-0.7771459614569708,-0.6293203910498376,-0.06975647374412558,-0.9975640502598242,-0.42261826174069916
5.93915,6.44875,-0.7771459614569708,-0.6293203910498376,-0.08715574274765825,-0.9961946980917455,-0.3907311284892738
5.4134699999999984,5.86758,-0.7313537016191706,-0.6819983600624984,-0.10452846326765336,-0.9945218953682734,-0.42261826174069916
5.37443,5.8238900000000005,-0.7313537016191706,-0.6819983600624984,-0.12186934340514717,-0.9925461516413221,-0.43837114678907774
4.89117,5.28306,-0.7313537016191706,-0.6819983600624984,-0.13917310096006583,-0.9902680687415703,-0.4067366430758001
4.4305900000000005,4.76762,-0.7313537016191706,-0.6819983600624984,-0.15643446504023104,-0.9876883405951377,-0.3583679495453007
3.98073,4.26417,-0.7313537016191706,-0.6819983600624984,-0.1908089953765446,-0.981627183447664,-0.30901699437494756
3.4829800000000004,3.8043699999999996,-0.7071067811865477,-0.7071067811865475,-0.2079116908177598,-0.9781476007338056,-0.2756373558169989
2.69308,2.94158,-0.7071067811865477,-0.7071067811865475,-0.2756373558169989,-0.961261695938319,-0.08715574274765825
2.1494,2.55309,0.656059028990507,-0.7547095802227722,-0.25881904510252063,-0.9659258262890683,-0.9945218953682733
2.13177,2.53215,0.656059028990507,-0.7547095802227722,-0.22495105434386525,-0.9743700647852351,-0.9945218953682733
2.22284,2.1859900000000003,0.8571673007021121,-0.5150380749100545,-0.1908089953765446,-0.981627183447664,-0.9986295347545738
2.03371,2.0,0.8571673007021121,-0.5150380749100545,-0.17364817766693033,-0.984807753012208,-0.90630778703665
1.04873,2.0,0.9993908270190958,-0.034899496702500823,-0.17364817766693033,-0.984807753012208,-0.9743700647852352
2.09747,2.0,0.9993908270190958,-0.034899496702500823,-0.15643446504023104,-0.9876883405951377,-0.8746197071393959
2.1897,2.08794,0.9993908270190958,-0.034899496702500823,-0.17364817766693033,-0.984807753012208,-0.7313537016191706
2.4692,2.39553,0.9945218953682733,0.10452846326765347,-0.17364817766693033,-0.984807753012208,-0.6946583704589973
