boat_speed,wind_speed,angle_of_attack,target_angle,boat_angle
9.57241,21.07713,87.99948,250.21580175445754,115.6602
9.55964,20.86005,87.99948,250.09830935058847,116.28877
9.55918,20.85209,87.99948,249.6138497526823,116.23885
9.548639999999999,20.67299,87.99948,249.7674133421558,117.05241000000001
9.54816,20.6648,87.99948,249.17472851475932,116.94048
9.538160000000001,20.49485,87.99948,249.3401161766753,117.74347
9.53812,20.49415,87.99948,255.73378981507432,117.6183
9.89085,20.319110000000002,95.00183,251.17236101426812,116.72712
9.89718,20.37978,95.00183,251.29727659941463,116.45797
9.90093,20.41571,95.00183,360.0,116.29885
9.90093,20.41571,95.00183,360.0,116.29885
9.90093,20.41571,95.00183,251.16238673379752,116.29885
9.88951,20.3063,95.00183,251.39683174006404,116.65344
9.89553,20.36403,95.00183,270.0,116.40043
9.89553,20.36403,95.00183,251.23824563302932,116.40043
9.88693,20.2816,95.00183,180.0,116.65678
9.88693,20.2816,95.00183,180.0,116.65678
9.88693,20.2816,95.00183,251.4588139957463,116.65678
9.8927,20.33688,95.00183,251.274282101712,116.41868999999998
9.88391,20.2526,95.00183,360.0,116.70768999999999
9.88391,20.2526,95.00183,360.0,116.70769
9.88391,20.2526,95.00183,251.4818581618037,116.70768999999999
9.88946,20.30584,95.00183,251.2724386055964,116.48383
9.88058,20.220670000000002,95.00183,90.0,116.80442
9.88058,20.22067,95.00183,90.0,116.80442
9.88058,20.220670000000002,95.00183,251.46789398316864,116.80442
9.88596,20.27232,95.00183,180.0,116.59399
9.88596,20.27232,95.00183,251.2346131208521,116.59398999999999
9.87708,20.1872,95.00183,360.0,116.94505
9.87708,20.1872,95.00183,360.0,116.94505
9.87708,20.1872,95.00183,251.41876456451718,116.94505
9.88235,20.2377,95.00183,360.0,116.74726000000001
9.88235,20.2377,95.00183,251.1624369503096,116.74726
9.87358,20.153589999999998,95.00183,360.0,117.12756999999999
9.87358,20.15359,95.00183,360.0,117.12757
9.87358,20.153589999999998,95.00183,251.33611551245025,117.12756999999999
9.87876,20.2033,95.00183,251.0577788577238,116.94182
9.87019,20.12114,95.00183,251.2216366187029,117.35011000000002
9.87534,20.17052,95.00183,250.92226277551026,117.17556
9.86707,20.09119,95.00183,251.07702766518761,117.61053999999999
9.87223,20.14065,95.00183,250.7577399610861,117.44643
9.864339999999999,20.06504,95.00183,250.90408073115418,117.90663
9.86955,20.11501,95.00183,250.5658061966729,117.75207
9.86214,20.04399,95.00183,250.7070178860109,118.23592
9.86745,20.09485,95.00183,250.3502064064645,118.09022
9.86069,20.030070000000002,95.00183,250.48305220280918,118.5938
9.86613,20.08221,95.00183,250.11120137906425,118.45628
9.85999,20.023329999999998,95.00183,250.237478168028,118.9811
9.86567,20.07777,95.00183,249.8227589539587,118.84949
9.85564,19.982120000000002,95.00183,249.9153427909811,119.4285
9.85658,19.99091,95.00183,249.51617642743173,119.33998
9.84731,19.90419,95.00183,249.61504032705693,119.89578
9.84842,19.91458,95.00183,249.23371249142448,119.79773
9.84036,19.83918,95.00183,249.33832669635456,120.32751999999999
9.84162,19.85101,95.00183,248.9745294952168,120.22044
9.834719999999999,19.78642,95.00183,249.08422953649153,120.72448999999999
9.83609,19.79931,95.00183,248.73757681757672,120.60906
9.83028,19.7449,95.00183,248.85180665866642,121.08792
9.83173,19.75852,95.00183,248.65269948814245,120.96485
9.81302,19.583470000000002,95.00183,248.759338113302,121.2486
9.81422,19.59475,95.00183,248.54010091366038,121.13293
9.79546,19.41928,95.00183,248.54010091366038,121.44045
9.63257,21.05676,88.99323000000004,250.86546635427632,114.61667
9.620510000000001,20.87378,88.99323000000004,251.00476824123194,115.41205
9.61948,20.85801,88.99323000000004,250.4428686319661,115.31102
9.60719,20.67145,88.99323000000004,250.59306923451703,116.07621
9.60665,20.66325,88.99323000000004,250.00322622873574,115.96227
9.595460000000001,20.49342,88.99323000000004,250.16527013737976,116.7631
9.59541,20.49276,88.99323000000004,255.7702874026757,116.63575
9.89066,20.32131,94.99323000000001,360.0,116.73092
9.89066,20.32131,94.99323,251.28754086621456,116.73092
9.897,20.38211,94.99323000000001,360.0,116.46088
9.897,20.38211,94.99323,251.15759433367043,116.46088
9.888739999999999,20.30292,94.99323000000001,360.0,116.68149
9.88874,20.30292,94.99323,251.392804058502,116.68149
9.89478,20.36084,94.99323000000001,186.65169974428352,116.42728000000001
9.89478,20.36084,94.99323,251.2358364829019,116.42728
9.88623,20.27882,94.99323000000001,360.0,116.68176000000001
9.88623,20.27882,94.99323,360.0,116.68176
9.88623,20.27882,94.99323000000001,251.45700092844157,116.68176000000001
9.89201,20.33431,94.99323,251.27395134928972,116.44253
9.88327,20.25045,94.99323000000001,360.0,116.72983
9.88327,20.25045,94.99323,360.0,116.72983
9.88327,20.25045,94.99323000000001,251.48209590643023,116.72983
9.88884,20.30389,94.99323,251.27402875505317,116.50496
9.88001,20.21919,94.99323000000001,180.0,116.82386000000001
9.88001,20.21919,94.99323,180.0,116.82386
9.88001,20.21919,94.99323000000001,251.46988854204827,116.82386000000001
9.88542,20.27103,94.99323,360.0,116.61257
9.88542,20.27103,94.99323000000001,251.23789649467682,116.61256999999999
9.87659,20.18641,94.99323,360.0,116.96207
9.87659,20.186410000000002,94.99323000000001,360.0,116.96207
9.87659,20.18641,94.99323,251.4223503265541,116.96207
